dataset	condition	profile	mux	connection_scale	run_id	validation_status	relative_path
formal_v1		bursty			sample_20260721T080629Z_bbadef38		formal_v1/bursty/batches/bursty_20260721T080629Z_1_18d0/v2ray/sample_20260721T080629Z_bbadef38/session.json
formal_v1		bursty			sample_20260721T103506Z_38dc816b		formal_v1/bursty/batches/bursty_20260721T103506Z_1_05c8/v2ray/sample_20260721T103506Z_38dc816b/session.json
formal_v1		bursty			sample_20260721T113855Z_868c402e		formal_v1/bursty/batches/bursty_20260721T113855Z_1_30bb/v2ray/sample_20260721T113855Z_868c402e/session.json
formal_v1		bursty			sample_20260721T113946Z_a5d3810b		formal_v1/bursty/batches/bursty_20260721T113946Z_1_0077/v2ray/sample_20260721T113946Z_a5d3810b/session.json
formal_v1		bursty			sample_20260721T114037Z_e3111ea2		formal_v1/bursty/batches/bursty_20260721T114037Z_1_4904/v2ray/sample_20260721T114037Z_e3111ea2/session.json
formal_v1		bursty			sample_20260721T114128Z_6de655d2		formal_v1/bursty/batches/bursty_20260721T114128Z_1_64e4/v2ray/sample_20260721T114128Z_6de655d2/session.json
formal_v1		bursty			sample_20260721T114219Z_1348a9ee		formal_v1/bursty/batches/bursty_20260721T114219Z_1_2ac4/v2ray/sample_20260721T114219Z_1348a9ee/session.json
formal_v1		bursty			sample_20260721T114312Z_009120f4		formal_v1/bursty/batches/bursty_20260721T114312Z_1_3cd3/v2ray/sample_20260721T114312Z_009120f4/session.json
formal_v1		bursty			sample_20260721T114403Z_3cbaf5ee		formal_v1/bursty/batches/bursty_20260721T114403Z_1_1009/v2ray/sample_20260721T114403Z_3cbaf5ee/session.json
formal_v1		bursty			sample_20260721T114453Z_86f98737		formal_v1/bursty/batches/bursty_20260721T114453Z_1_1878/v2ray/sample_20260721T114453Z_86f98737/session.json
formal_v1		bursty			sample_20260721T114543Z_3164e67c		formal_v1/bursty/batches/bursty_20260721T114543Z_1_477a/v2ray/sample_20260721T114543Z_3164e67c/session.json
formal_v1		bursty			sample_20260721T114635Z_33de9755		formal_v1/bursty/batches/bursty_20260721T114635Z_1_6329/v2ray/sample_20260721T114635Z_33de9755/session.json
formal_v1		bursty			sample_20260721T114727Z_0f33deb2		formal_v1/bursty/batches/bursty_20260721T114727Z_1_19b1/v2ray/sample_20260721T114727Z_0f33deb2/session.json
formal_v1		bursty			sample_20260721T114818Z_af44722b		formal_v1/bursty/batches/bursty_20260721T114817Z_1_5c31/v2ray/sample_20260721T114818Z_af44722b/session.json
