rank	domain	rank_bucket	https_url	dns_success	main_commit_success	main_http_status	main_commit_latency_ms	domcontentloaded	domcontentloaded_latency_ms	subresource_failed_count	warning_count	policy_exclusion_reason	hard_failure_reason	reachable	audit_timestamp
100001	budapestopenaccessinitiative.org	rank_100001_1000000	https://budapestopenaccessinitiative.org/	True	True	200	3286	False	0	0	1			True	2026-08-28T08:49:31Z
100002	vipservice.ru	rank_100001_1000000	https://vipservice.ru/	True	True	200	2996	False	0	0	1			True	2026-08-28T08:49:31Z
100003	spokojenypes.cz	rank_100001_1000000	https://spokojenypes.cz/	True	False	403	767	False	0	0	0		RuntimeError:unacceptable_main_http_status:403	False	2026-08-28T08:49:31Z
100004	mcdemon.ru	rank_100001_1000000	https://mcdemon.ru/	True	True	200	1903	True	1927	0	0			True	2026-08-28T08:49:31Z
100005	gekso.info	rank_100001_1000000	https://gekso.info/	True	False	0	0	False	0	0	0		"Error:Page.goto: net::ERR_CONNECTION_REFUSED at https://gekso.info/
Call log:
  - navigating to ""https://gekso.info/"", waiting until ""commit""
"	False	2026-08-28T08:49:31Z
100006	pay-gate.io	rank_100001_1000000	https://pay-gate.io/	True	False	0	0	False	0	0	0		"TimeoutError:Page.goto: Timeout 30000ms exceeded.
Call log:
  - navigating to ""https://pay-gate.io/"", waiting until ""commit""
"	False	2026-08-28T08:49:31Z
100007	plantbasednews.org	rank_100001_1000000	https://plantbasednews.org/	True	True	200	2031	True	4703	3	1			True	2026-08-28T08:49:31Z
100008	comprerural.com	rank_100001_1000000	https://comprerural.com/	True	False	403	1121	False	0	0	0		RuntimeError:unacceptable_main_http_status:403	False	2026-08-28T08:49:31Z
100009	androidinsider.ru	rank_100001_1000000	https://androidinsider.ru/	True	True	200	1856	True	3283	4	1			True	2026-08-28T08:50:02Z
100010	qm989.com	rank_100001_1000000	https://qm989.com/	False	False	0	0	False	0	0	0		dns_failure:gaierror	False	2026-08-28T08:50:02Z
100011	xaas.jp	rank_100001_1000000	https://xaas.jp/	True	False	0	0	False	0	0	0		"Error:Page.goto: net::ERR_CONNECTION_REFUSED at https://xaas.jp/
Call log:
  - navigating to ""https://xaas.jp/"", waiting until ""commit""
"	False	2026-08-28T08:50:02Z
100012	cupidityconnect.com	rank_100001_1000000	https://cupidityconnect.com/	True	False	403	2513	False	0	0	0		RuntimeError:unacceptable_main_http_status:403	False	2026-08-28T08:50:02Z
100013	otxb.io	rank_100001_1000000	https://otxb.io/	False	False	0	0	False	0	0	0		dns_failure:gaierror	False	2026-08-28T08:50:02Z
100014	national-preservation.com	rank_100001_1000000	https://national-preservation.com/	True	True	200	1505	True	4675	3	1			True	2026-08-28T08:50:02Z
100015	nkreeger.com	rank_100001_1000000	https://nkreeger.com/	True	False	403	1256	False	0	0	0		RuntimeError:unacceptable_main_http_status:403	False	2026-08-28T08:50:02Z
100016	peoplestrong.com	rank_100001_1000000	https://peoplestrong.com/	True	True	200	4269	False	0	1	2			True	2026-08-28T08:50:02Z
100017	redmob.io	rank_100001_1000000	https://redmob.io/	True	True	200	1774	False	0	0	1			True	2026-08-28T08:50:23Z
100018	ivao.aero	rank_100001_1000000	https://ivao.aero/	True	True	200	816	False	0	0	1			True	2026-08-28T08:50:23Z
100019	nims.go.jp	rank_100001_1000000	https://nims.go.jp/	False	False	0	0	False	0	0	0		dns_failure:gaierror	False	2026-08-28T08:50:23Z
100020	bolt.host	rank_100001_1000000	https://bolt.host/	True	True	200	23528	False	0	0	1			True	2026-08-28T08:50:23Z
100021	w3hub.biz	rank_100001_1000000	https://w3hub.biz/	True	False	0	0	False	0	0	0		"Error:Page.goto: net::ERR_HTTP2_PROTOCOL_ERROR at https://w3hub.biz/
Call log:
  - navigating to ""https://w3hub.biz/"", waiting until ""commit""
"	False	2026-08-28T08:50:23Z
100022	tacomadc.com	rank_100001_1000000	https://tacomadc.com/	False	False	0	0	False	0	0	0		dns_failure:gaierror	False	2026-08-28T08:50:23Z
100023	trulyengaging.com	rank_100001_1000000	https://trulyengaging.com/	True	False	403	1313	False	0	0	0		RuntimeError:unacceptable_main_http_status:403	False	2026-08-28T08:50:23Z
100024	asia-beta.com	rank_100001_1000000	https://asia-beta.com/	True	False	0	0	False	0	0	0		"Error:Page.goto: net::ERR_CONNECTION_REFUSED at https://asia-beta.com/
Call log:
  - navigating to ""https://asia-beta.com/"", waiting until ""commit""
"	False	2026-08-28T08:50:23Z
100025	fitnessonlineapp.com	rank_100001_1000000	https://fitnessonlineapp.com/	True	False	403	830	False	0	0	0		RuntimeError:unacceptable_main_http_status:403	False	2026-08-28T08:50:57Z
