rank	domain	rank_bucket	source_list_id	source_sha256	syntax_eligible	reachable	main_http_status	main_commit_success	main_commit_latency_ms	warning_count	audit_timestamp
100001	budapestopenaccessinitiative.org	rank_100001_1000000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	3286	1	2026-08-28T08:49:31Z
100002	vipservice.ru	rank_100001_1000000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	2996	1	2026-08-28T08:49:31Z
100004	mcdemon.ru	rank_100001_1000000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	1903	0	2026-08-28T08:49:31Z
100007	plantbasednews.org	rank_100001_1000000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	2031	1	2026-08-28T08:49:31Z
100009	androidinsider.ru	rank_100001_1000000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	1856	1	2026-08-28T08:50:02Z
100014	national-preservation.com	rank_100001_1000000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	1505	1	2026-08-28T08:50:02Z
100016	peoplestrong.com	rank_100001_1000000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	4269	2	2026-08-28T08:50:02Z
100017	redmob.io	rank_100001_1000000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	1774	1	2026-08-28T08:50:23Z
100018	ivao.aero	rank_100001_1000000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	816	1	2026-08-28T08:50:23Z
100020	bolt.host	rank_100001_1000000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	23528	1	2026-08-28T08:50:23Z
100026	snack-media.com	rank_100001_1000000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	4149	2	2026-08-28T08:50:57Z
100027	adsimple.de	rank_100001_1000000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	2263	2	2026-08-28T08:50:57Z
100031	acs-cis.ru	rank_100001_1000000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	2934	1	2026-08-28T08:50:57Z
100033	alditalk.de	rank_100001_1000000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	3981	1	2026-08-28T08:51:11Z
100034	packet-pushers.com	rank_100001_1000000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	1010	0	2026-08-28T08:51:11Z
100041	hyperledger.org	rank_100001_1000000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	4495	1	2026-08-28T08:51:33Z
100043	vmcpool.io	rank_100001_1000000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	1301	1	2026-08-28T08:51:33Z
100044	realityrift.co	rank_100001_1000000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	1828	0	2026-08-28T08:51:33Z
100045	savingforcollege.com	rank_100001_1000000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	1812	1	2026-08-28T08:51:33Z
100046	foropuros.com	rank_100001_1000000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	4388	0	2026-08-28T08:51:33Z
100047	macrolibrarsi.it	rank_100001_1000000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	2626	0	2026-08-28T08:51:33Z
100049	hqu.edu.cn	rank_100001_1000000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	284	0	2026-08-28T08:51:48Z
100050	projectzomboid.com	rank_100001_1000000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	1265	0	2026-08-28T08:51:48Z
100051	hro.nl	rank_100001_1000000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	2079	1	2026-08-28T08:51:48Z
100059	synonyms.com	rank_100001_1000000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	202	true	1344	0	2026-08-28T08:52:01Z
100061	visionspecialists.org	rank_100001_1000000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	2142	1	2026-08-28T08:52:01Z
100062	connexus.com	rank_100001_1000000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	3286	1	2026-08-28T08:52:01Z
100064	ss-iptv.com	rank_100001_1000000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	1471	1	2026-08-28T08:52:01Z
100065	credify.tech	rank_100001_1000000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	4297	0	2026-08-28T08:52:23Z
100067	safaribookings.com	rank_100001_1000000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	4911	1	2026-08-28T08:52:23Z
100068	uksh.de	rank_100001_1000000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	3688	0	2026-08-28T08:52:23Z
100070	cccbr.org.uk	rank_100001_1000000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	3839	1	2026-08-28T08:52:23Z
100071	clip.mx	rank_100001_1000000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	2615	1	2026-08-28T08:52:23Z
100075	bad.org.uk	rank_100001_1000000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	1150	1	2026-08-28T08:52:39Z
100076	salzburgerland.com	rank_100001_1000000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	1832	1	2026-08-28T08:52:39Z
100078	fotohosting.su	rank_100001_1000000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	1757	1	2026-08-28T08:52:39Z
100079	aegir.sexy	rank_100001_1000000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	1081	0	2026-08-28T08:52:39Z
100082	yonote.ru	rank_100001_1000000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	1397	1	2026-08-28T08:53:00Z
100083	okprint.kz	rank_100001_1000000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	10448	1	2026-08-28T08:53:00Z
100085	imagepond.net	rank_100001_1000000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	4403	1	2026-08-28T08:53:00Z
100088	vat-search.com	rank_100001_1000000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	1777	0	2026-08-28T08:53:00Z
100089	frantech.ca	rank_100001_1000000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	1067	0	2026-08-28T08:53:22Z
100092	mofo.com	rank_100001_1000000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	1077	1	2026-08-28T08:53:22Z
100093	4netplayers.com	rank_100001_1000000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	2659	1	2026-08-28T08:53:22Z
100094	101cookbooks.com	rank_100001_1000000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	2135	0	2026-08-28T08:53:22Z
100096	amberstudent.com	rank_100001_1000000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	1292	1	2026-08-28T08:53:22Z
100098	wradio.com.co	rank_100001_1000000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	3443	1	2026-08-28T08:53:35Z
