domain_id	rank	domain	https_url	rank_bucket	split	split_key_sha256	split_seed
domain0261	688	hihonorcloud.com	https://hihonorcloud.com/	top_1_1000	train	01a17fe67993f93e2210535280a9213c4d285eb66ea4938b0e94e1bb428f15c5	proxytraffic-realistic-v1-formal-t0-domain-split-v1
domain0056	173	vk.ru	https://vk.ru/	top_1_1000	train	01f6aeec49f59071fe06a37138e545539a4f3479da7bb5eae96b1b38e2ae0b87	proxytraffic-realistic-v1-formal-t0-domain-split-v1
domain0060	183	example.com	https://example.com/	top_1_1000	train	02ad5c1fe4d1bbfa34eb870b2ae2ad946eae54894a947ace95e94d6f051fa12a	proxytraffic-realistic-v1-formal-t0-domain-split-v1
domain0120	341	doubleverify.com	https://doubleverify.com/	top_1_1000	train	035638cbf067eed3ba7abdabc94b32782db020a784928051ea93eb2d42b9b709	proxytraffic-realistic-v1-formal-t0-domain-split-v1
domain0339	893	fwmrm.net	https://fwmrm.net/	top_1_1000	train	03930f470e4509ecd91977c668695ef2e8efac9a1aa5e0694eebf556370682ad	proxytraffic-realistic-v1-formal-t0-domain-split-v1
domain0118	338	bilibili.com	https://bilibili.com/	top_1_1000	train	03b73d905d2ddef14c49e121e08907bcb55c0f4b4c9a1b9ff9d4f11475e7c5e3	proxytraffic-realistic-v1-formal-t0-domain-split-v1
domain0116	330	aliyun.com	https://aliyun.com/	top_1_1000	train	03f856e82cc4f4e416cf0e28f550ad1c3a4818d0ff4ca85465d6edcd85805a3c	proxytraffic-realistic-v1-formal-t0-domain-split-v1
domain0219	598	digitalocean.com	https://digitalocean.com/	top_1_1000	train	04b2cf824e164547e5a3f3a9b52e09156bfbee88cee76526cdaac294c1bba387	proxytraffic-realistic-v1-formal-t0-domain-split-v1
domain0207	575	uol.com.br	https://uol.com.br/	top_1_1000	train	055a196372eba396946a3c7db2a9d0af90cba202ad94e74001064dea2b1c35e6	proxytraffic-realistic-v1-formal-t0-domain-split-v1
domain0053	155	xiaomi.com	https://xiaomi.com/	top_1_1000	train	05a2742f694c2cf89c41bcdf794e3155779a026c66fe71f32c5ddb41da10ef1c	proxytraffic-realistic-v1-formal-t0-domain-split-v1
domain0324	844	myspace.com	https://myspace.com/	top_1_1000	train	05b114b3b9d84fbfe8e5d38fccd8668eba9bfeb93c6c364675b15558645a792f	proxytraffic-realistic-v1-formal-t0-domain-split-v1
domain0325	854	agoda.com	https://agoda.com/	top_1_1000	train	081af1b22f919639fc3185f14d6ca610767eba9c3e06724d2c46e37232803ef3	proxytraffic-realistic-v1-formal-t0-domain-split-v1
domain0292	767	ubi.com	https://ubi.com/	top_1_1000	train	082f9523a064479a156e86b9e4731ec080fff08e2b5a88a05611181b0b089155	proxytraffic-realistic-v1-formal-t0-domain-split-v1
domain0326	857	onetag-sys.com	https://onetag-sys.com/	top_1_1000	train	08dae8f4d9dfe404d2c6948586fa35d4b83ea14d00673ececace0d7fb0a95f1e	proxytraffic-realistic-v1-formal-t0-domain-split-v1
domain0111	314	triplinkintl.com	https://triplinkintl.com/	top_1_1000	train	0c94e62978a9c2c8c315030ac773ab2df1aeb990690b4a211055add7ffa47ab6	proxytraffic-realistic-v1-formal-t0-domain-split-v1
domain0016	44	sharepoint.com	https://sharepoint.com/	top_1_1000	train	11d0d45fb1f18774663fb0d719af6782df535c62fb1c2d64ed4db1df7523013e	proxytraffic-realistic-v1-formal-t0-domain-split-v1
domain0294	772	bugsnag.com	https://bugsnag.com/	top_1_1000	train	11d675b7683c29fac275b8986f37f71b14d0716dabba9146ae46450f980df75d	proxytraffic-realistic-v1-formal-t0-domain-split-v1
domain0002	5	microsoft.com	https://microsoft.com/	top_1_1000	train	120c411033eba78f5d0558ca67712475064c963e9d9bd53ea0b06c742ac9b28a	proxytraffic-realistic-v1-formal-t0-domain-split-v1
domain0010	26	amazon.com	https://amazon.com/	top_1_1000	train	1260f4a0fb3031971d9b7527f7d8e82e9665eeb7dab7dde714f43382493b402f	proxytraffic-realistic-v1-formal-t0-domain-split-v1
domain0265	701	globalsign.com	https://globalsign.com/	top_1_1000	train	128a305a70cd68bad6d3d2d6d160a36b7dfaa85e02a18392fe95b93c6d12f9a4	proxytraffic-realistic-v1-formal-t0-domain-split-v1
