sequence_id	quartet_index	mode_position	seed	split	intensity	pair_group_id	mode_order	plan_sha256
1	0	1	seed001	train	light	seed001_light	direct	aea67482bb7130b051fcc8ce3828f19b181f3cb4495462b7a41c7e4c5cb538bd
2	0	2	seed001	train	light	seed001_light	vless	aea67482bb7130b051fcc8ce3828f19b181f3cb4495462b7a41c7e4c5cb538bd
3	0	3	seed001	train	light	seed001_light	shadowsocks	aea67482bb7130b051fcc8ce3828f19b181f3cb4495462b7a41c7e4c5cb538bd
4	0	4	seed001	train	light	seed001_light	trojan	aea67482bb7130b051fcc8ce3828f19b181f3cb4495462b7a41c7e4c5cb538bd
5	1	1	seed001	train	medium	seed001_medium	vless	3863d29a5b21388994415831bb2c67b78ca5b323eb7e2fa92119b0fbf005a065
6	1	2	seed001	train	medium	seed001_medium	shadowsocks	3863d29a5b21388994415831bb2c67b78ca5b323eb7e2fa92119b0fbf005a065
7	1	3	seed001	train	medium	seed001_medium	trojan	3863d29a5b21388994415831bb2c67b78ca5b323eb7e2fa92119b0fbf005a065
8	1	4	seed001	train	medium	seed001_medium	direct	3863d29a5b21388994415831bb2c67b78ca5b323eb7e2fa92119b0fbf005a065
9	2	1	seed001	train	heavy	seed001_heavy	shadowsocks	660310457de01ab9323e6c311d0838234aef2dbfa371dbfeef135185bc06dfdd
10	2	2	seed001	train	heavy	seed001_heavy	trojan	660310457de01ab9323e6c311d0838234aef2dbfa371dbfeef135185bc06dfdd
11	2	3	seed001	train	heavy	seed001_heavy	direct	660310457de01ab9323e6c311d0838234aef2dbfa371dbfeef135185bc06dfdd
12	2	4	seed001	train	heavy	seed001_heavy	vless	660310457de01ab9323e6c311d0838234aef2dbfa371dbfeef135185bc06dfdd
13	3	1	seed002	train	light	seed002_light	trojan	3f2649ed23c74e0c9d87b9217438ab60c5710be2137dab3ad1fbc37e3823612c
14	3	2	seed002	train	light	seed002_light	direct	3f2649ed23c74e0c9d87b9217438ab60c5710be2137dab3ad1fbc37e3823612c
15	3	3	seed002	train	light	seed002_light	vless	3f2649ed23c74e0c9d87b9217438ab60c5710be2137dab3ad1fbc37e3823612c
16	3	4	seed002	train	light	seed002_light	shadowsocks	3f2649ed23c74e0c9d87b9217438ab60c5710be2137dab3ad1fbc37e3823612c
17	4	1	seed002	train	medium	seed002_medium	direct	2f1814e32ddb6b1c55704f27ead5792cfc88a165f72c3d8c2ff724360aaba04e
18	4	2	seed002	train	medium	seed002_medium	vless	2f1814e32ddb6b1c55704f27ead5792cfc88a165f72c3d8c2ff724360aaba04e
19	4	3	seed002	train	medium	seed002_medium	shadowsocks	2f1814e32ddb6b1c55704f27ead5792cfc88a165f72c3d8c2ff724360aaba04e
20	4	4	seed002	train	medium	seed002_medium	trojan	2f1814e32ddb6b1c55704f27ead5792cfc88a165f72c3d8c2ff724360aaba04e
21	5	1	seed002	train	heavy	seed002_heavy	vless	6a17ba6939a224a9162e36ff23701651ab09b8aa48874331c88c1783a0b8ee47
22	5	2	seed002	train	heavy	seed002_heavy	shadowsocks	6a17ba6939a224a9162e36ff23701651ab09b8aa48874331c88c1783a0b8ee47
23	5	3	seed002	train	heavy	seed002_heavy	trojan	6a17ba6939a224a9162e36ff23701651ab09b8aa48874331c88c1783a0b8ee47
24	5	4	seed002	train	heavy	seed002_heavy	direct	6a17ba6939a224a9162e36ff23701651ab09b8aa48874331c88c1783a0b8ee47
25	6	1	seed003	train	light	seed003_light	shadowsocks	34c9afdd005cf8a00284d2e6c82e9c7817118e453c8e23034653de51932fdb12
26	6	2	seed003	train	light	seed003_light	trojan	34c9afdd005cf8a00284d2e6c82e9c7817118e453c8e23034653de51932fdb12
27	6	3	seed003	train	light	seed003_light	direct	34c9afdd005cf8a00284d2e6c82e9c7817118e453c8e23034653de51932fdb12
28	6	4	seed003	train	light	seed003_light	vless	34c9afdd005cf8a00284d2e6c82e9c7817118e453c8e23034653de51932fdb12
