seed	split	intensity	pair_group_id	plan_path	plan_sha256	domain_ids	domain_split	browser_version	playwright_version	generator_git_head
seed001	train	light	seed001_light	/home/etip/datasets/plans/realistic_v1/t0/seed001_light_workload_plan.json	aea67482bb7130b051fcc8ce3828f19b181f3cb4495462b7a41c7e4c5cb538bd	domain0111,domain0488	train	151.0.7922.34	1.62.0	555e9e17c138e8f6dae42fe1f69fd10e1ea65b43
seed001	train	medium	seed001_medium	/home/etip/datasets/plans/realistic_v1/t0/seed001_medium_workload_plan.json	3863d29a5b21388994415831bb2c67b78ca5b323eb7e2fa92119b0fbf005a065	domain0374,domain0315,domain0193,domain0498	train	151.0.7922.34	1.62.0	555e9e17c138e8f6dae42fe1f69fd10e1ea65b43
seed001	train	heavy	seed001_heavy	/home/etip/datasets/plans/realistic_v1/t0/seed001_heavy_workload_plan.json	660310457de01ab9323e6c311d0838234aef2dbfa371dbfeef135185bc06dfdd	domain0207,domain0319,domain0358,domain0456,domain0124,domain0056	train	151.0.7922.34	1.62.0	555e9e17c138e8f6dae42fe1f69fd10e1ea65b43
seed002	train	light	seed002_light	/home/etip/datasets/plans/realistic_v1/t0/seed002_light_workload_plan.json	3f2649ed23c74e0c9d87b9217438ab60c5710be2137dab3ad1fbc37e3823612c	domain0123,domain0487	train	151.0.7922.34	1.62.0	555e9e17c138e8f6dae42fe1f69fd10e1ea65b43
seed002	train	medium	seed002_medium	/home/etip/datasets/plans/realistic_v1/t0/seed002_medium_workload_plan.json	2f1814e32ddb6b1c55704f27ead5792cfc88a165f72c3d8c2ff724360aaba04e	domain0121,domain0439,domain0155,domain0149	train	151.0.7922.34	1.62.0	555e9e17c138e8f6dae42fe1f69fd10e1ea65b43
seed002	train	heavy	seed002_heavy	/home/etip/datasets/plans/realistic_v1/t0/seed002_heavy_workload_plan.json	6a17ba6939a224a9162e36ff23701651ab09b8aa48874331c88c1783a0b8ee47	domain0101,domain0374,domain0440,domain0065,domain0277,domain0366	train	151.0.7922.34	1.62.0	555e9e17c138e8f6dae42fe1f69fd10e1ea65b43
seed003	train	light	seed003_light	/home/etip/datasets/plans/realistic_v1/t0/seed003_light_workload_plan.json	34c9afdd005cf8a00284d2e6c82e9c7817118e453c8e23034653de51932fdb12	domain0251,domain0258	train	151.0.7922.34	1.62.0	555e9e17c138e8f6dae42fe1f69fd10e1ea65b43
seed003	train	medium	seed003_medium	/home/etip/datasets/plans/realistic_v1/t0/seed003_medium_workload_plan.json	93f4cf109d8196e5d2830ba3a02b6557e838c698dc5a78ee43dcaf77b3bc1804	domain0334,domain0149,domain0044,domain0230	train	151.0.7922.34	1.62.0	555e9e17c138e8f6dae42fe1f69fd10e1ea65b43
seed003	train	heavy	seed003_heavy	/home/etip/datasets/plans/realistic_v1/t0/seed003_heavy_workload_plan.json	368f875f17c239ff259332794b35ccf3d75886ccbda577df8e8eae5e879bd4e3	domain0001,domain0197,domain0399,domain0477,domain0416,domain0277	train	151.0.7922.34	1.62.0	555e9e17c138e8f6dae42fe1f69fd10e1ea65b43
seed004	train	light	seed004_light	/home/etip/datasets/plans/realistic_v1/t0/seed004_light_workload_plan.json	75b02550e1e631f20e11e898b15becff8ac38e27f65af2a4217a69885455ff4c	domain0204,domain0093	train	151.0.7922.34	1.62.0	555e9e17c138e8f6dae42fe1f69fd10e1ea65b43
seed004	train	medium	seed004_medium	/home/etip/datasets/plans/realistic_v1/t0/seed004_medium_workload_plan.json	db05737ff5780ec61db269be1b3b25a6dc862b2ad0cb3c1df300f134ec7acd2c	domain0389,domain0113,domain0277,domain0471	train	151.0.7922.34	1.62.0	555e9e17c138e8f6dae42fe1f69fd10e1ea65b43
