domain_id	rank	domain	rank_bucket	source_list_id	source_sha256	syntax_eligible	reachability_eligible	main_http_status	main_commit_success	main_commit_latency_ms	warning_count	audit_timestamp	replay_stable	rate_limit_429_count
domain0001	2	cloudflare.com	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	2326	0	2026-08-29T05:24:51Z	true	0
domain0002	5	microsoft.com	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	4161	12	2026-08-29T05:25:29Z	true	0
domain0003	7	amazonaws.com	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	1954	0	2026-08-29T05:24:46Z	true	0
domain0004	9	apple.com	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	459	0	2026-08-29T05:24:40Z	true	0
domain0005	13	mail.ru	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	4383	14	2026-08-29T05:25:26Z	true	0
domain0006	17	dzen.ru	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	2660	2	2026-08-29T05:25:18Z	true	0
domain0007	18	linkedin.com	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	4288	4	2026-08-29T05:25:04Z	true	0
domain0008	21	office.com	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	3136	0	2026-08-29T05:25:15Z	true	0
domain0009	24	live.com	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	2291	0	2026-08-29T05:25:16Z	true	0
domain0010	26	amazon.com	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	202	true	4405	3	2026-08-29T05:25:46Z	true	0
domain0011	28	azure.com	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	3555	9	2026-08-29T05:26:03Z	true	0
domain0012	29	bing.com	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	1148	0	2026-08-29T05:25:24Z	true	0
domain0013	34	fastly.net	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	6553	0	2026-08-29T05:25:55Z	true	0
