rank	domain	rank_bucket	single_status	single_commit_success	single_commit_latency_ms	single_warning_count	single_error	single_reachable	attempt1_status	attempt1_commit_success	attempt1_commit_latency_ms	attempt1_warning_count	attempt1_error	attempt2_status	attempt2_commit_success	attempt2_commit_latency_ms	attempt2_warning_count	attempt2_error	attempt3_status	attempt3_commit_success	attempt3_commit_latency_ms	attempt3_warning_count	attempt3_error	attempt4_status	attempt4_commit_success	attempt4_commit_latency_ms	attempt4_warning_count	attempt4_error	rate_limit_429_count	hard_failure_count	warning_count	replay_stable	audit_timestamp	all_gates_pass
925	internetwarriors.net	top_1_1000	200	true	6669	0		true	200	true	3516	0		200	true	4868	0		200	true	4071	0		200	true	5544	0		0	0	0	true	2026-08-29T06:17:37Z	true
926	nintendo.net	top_1_1000	0	false	1559	1	"Error: Page.goto: net::ERR_NAME_NOT_RESOLVED at https://nintendo.net/
Call log:
  - navigating to ""https://nintendo.net/"", waiting until ""commit""
"	false	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	4	0	false	2026-08-29T06:16:59Z	false
927	genius.com	top_1_1000	0	false	22655	1	"Error: Page.goto: net::ERR_CONNECTION_REFUSED at https://genius.com/
Call log:
  - navigating to ""https://genius.com/"", waiting until ""commit""
"	false	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	4	0	false	2026-08-29T06:17:20Z	false
928	smartthings.com	top_1_1000	200	true	9098	0		true	200	true	5774	0		200	true	5695	0		200	true	7783	0		200	true	6549	0		0	0	0	true	2026-08-29T06:17:48Z	true
929	agora.io	top_1_1000	200	true	14659	1		true	200	true	12504	1		200	true	33419	1		200	true	12113	1		200	true	32553	1		0	0	4	true	2026-08-29T06:18:58Z	true
930	epam.com	top_1_1000	403	true	2548	0	RuntimeError: unacceptable main HTTP status: 403	false	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	4	0	false	2026-08-29T06:17:00Z	false
931	b-msedge.net	top_1_1000	0	false	1419	1	"Error: Page.goto: net::ERR_NAME_NOT_RESOLVED at https://b-msedge.net/
Call log:
  - navigating to ""https://b-msedge.net/"", waiting until ""commit""
"	false	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	4	0	false	2026-08-29T06:16:59Z	false
932	eporner.com	top_1_1000	0	false	22468	1	"Error: Page.goto: net::ERR_CONNECTION_REFUSED at https://eporner.com/
Call log:
  - navigating to ""https://eporner.com/"", waiting until ""commit""
"	false	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	4	0	false	2026-08-29T06:17:20Z	false
933	mailchi.mp	top_1_1000	0	false	21605	1	"Error: Page.goto: net::ERR_CONNECTION_REFUSED at https://mailchi.mp/
Call log:
  - navigating to ""https://mailchi.mp/"", waiting until ""commit""
"	false	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	4	0	false	2026-08-29T06:17:20Z	false
934	playrix.com	top_1_1000	200	true	4263	0		true	200	true	3629	0		200	true	3962	0		200	true	4225	0		200	true	5986	0		0	0	0	true	2026-08-29T06:17:36Z	true
