domain_id	rank	domain	https_url	rank_bucket	split	split_key_sha256	split_seed
domain0481	100070	cccbr.org.uk	https://cccbr.org.uk/	rank_100001_1000000	train	003a49a6decc3093ce9e1d0c1a7444955dd418086e11a978ab2d66c4c00fd099	proxytraffic-realistic-v1-formal-t0-domain-split-v2
domain0324	884	biblegateway.com	https://biblegateway.com/	top_1_1000	train	018ed9db29489701f64c7b97d91cc592e21286738a7c845680f721d1ec46299f	proxytraffic-realistic-v1-formal-t0-domain-split-v2
domain0251	684	bitrix24.ru	https://bitrix24.ru/	top_1_1000	train	033a8df3b67ba13d2fcdd1eb33faeaffae70d3b0c17ec31600029a57bd85e6fe	proxytraffic-realistic-v1-formal-t0-domain-split-v2
domain0493	100093	4netplayers.com	https://4netplayers.com/	rank_100001_1000000	train	03d64a6976d4746b49f0021a1ebf347f7522e994c9c197c0198a2c48bebda376	proxytraffic-realistic-v1-formal-t0-domain-split-v2
domain0126	368	nvidia.com	https://nvidia.com/	top_1_1000	train	03d6b957742f9906775b718f6e6bd5625925ea62fba8b3f826f105cb7ebea45f	proxytraffic-realistic-v1-formal-t0-domain-split-v2
domain0141	400	dropcatch.com	https://dropcatch.com/	top_1_1000	train	03f62539400a9c8ded553e5cf038c06b3b370d65a31228f2b89021d6a4c21408	proxytraffic-realistic-v1-formal-t0-domain-split-v2
domain0036	111	outlook.com	https://outlook.com/	top_1_1000	train	04ea01af54089f6e479e6460b5d48118d6a6d07356b57ffac7ae2f59c443ebd3	proxytraffic-realistic-v1-formal-t0-domain-split-v2
domain0173	491	eventbrite.com	https://eventbrite.com/	top_1_1000	train	05a632c59711b0e953f1615ffe84e96a66c615bf84d9f4ca778ac5bf80875ca7	proxytraffic-realistic-v1-formal-t0-domain-split-v2
domain0331	894	wyzecam.com	https://wyzecam.com/	top_1_1000	train	063eec7cb9472c31e734d29475f02591c431384e2753f844729fd796520bb27b	proxytraffic-realistic-v1-formal-t0-domain-split-v2
domain0087	276	forter.com	https://forter.com/	top_1_1000	train	06c8afe698836929f5077b982228d88f2d2c463c466a7a4fde0e1f732f31a5ff	proxytraffic-realistic-v1-formal-t0-domain-split-v2
domain0392	1102	franceinfo.fr	https://franceinfo.fr/	rank_1001_100000	train	08c5c827e8fd12eda0a604aa60d1c26a64d097bfe7ebda6379ebbb3af277979c	proxytraffic-realistic-v1-formal-t0-domain-split-v2
domain0136	387	amazontrust.com	https://amazontrust.com/	top_1_1000	train	08ebe897c50b91e46abe3b4f1b769564b00e59cee7b05ebe33c1bc046115bdb6	proxytraffic-realistic-v1-formal-t0-domain-split-v2
domain0072	234	userapi.com	https://userapi.com/	top_1_1000	train	08fcf819ffd57dec5bedf040b4f87026efa7124255d87544bc5f5b920dfce7c2	proxytraffic-realistic-v1-formal-t0-domain-split-v2
domain0003	7	amazonaws.com	https://amazonaws.com/	top_1_1000	train	09a2460e09f6d0998362d940583a47eef23f03d48fb2ae1f05e3610f1e2eb63e	proxytraffic-realistic-v1-formal-t0-domain-split-v2
domain0095	290	www.gov.uk	https://www.gov.uk/	top_1_1000	train	09d332e8d0482f0bc5d3c834e88623c6f60f7f08ef94587ee94d5ce584d5fb5f	proxytraffic-realistic-v1-formal-t0-domain-split-v2
domain0026	93	samsung.com	https://samsung.com/	top_1_1000	train	09eb26d29066cfb16b76cfc4cddb7cdc5381dec8e0ebba5f40f541f1e98e0e3d	proxytraffic-realistic-v1-formal-t0-domain-split-v2
domain0179	521	vkontakte.ru	https://vkontakte.ru/	top_1_1000	train	0aa0d23ad099e44e8f9a93714f2fd4e3254e098a7498e9957e02f97523311d65	proxytraffic-realistic-v1-formal-t0-domain-split-v2
domain0431	1190	inven.co.kr	https://inven.co.kr/	rank_1001_100000	train	0afcbaba0a487156105039b39dd69f2cdbfad2b0f93feb21fd495b1784c7c27d	proxytraffic-realistic-v1-formal-t0-domain-split-v2
domain0050	162	one.one	https://one.one/	top_1_1000	train	0ba60272bfe7ab77fbe3fac731b204434fd77ec538eac770e6d1f2ce366bc571	proxytraffic-realistic-v1-formal-t0-domain-split-v2
domain0287	778	gumgum.com	https://gumgum.com/	top_1_1000	train	0c429f7c40319fae76df732e58051ce0e8789de68d861ffd142fd75c6ecb589d	proxytraffic-realistic-v1-formal-t0-domain-split-v2
