sequence_id	quartet_index	mode_position	seed	split	intensity	pair_group_id	mode_order	plan_sha256
1	0	1	seed001	train	light	seed001_light	direct	a18071294fe3257d507ec5d3837ec7501a11eef93f0513497b882b45d083e6b7
2	0	2	seed001	train	light	seed001_light	vless	a18071294fe3257d507ec5d3837ec7501a11eef93f0513497b882b45d083e6b7
3	0	3	seed001	train	light	seed001_light	shadowsocks	a18071294fe3257d507ec5d3837ec7501a11eef93f0513497b882b45d083e6b7
4	0	4	seed001	train	light	seed001_light	trojan	a18071294fe3257d507ec5d3837ec7501a11eef93f0513497b882b45d083e6b7
5	1	1	seed001	train	medium	seed001_medium	vless	7860c15addd1ea88e65163a5a4794d6b072033e7436ac6174e0f04c6929400a6
6	1	2	seed001	train	medium	seed001_medium	shadowsocks	7860c15addd1ea88e65163a5a4794d6b072033e7436ac6174e0f04c6929400a6
7	1	3	seed001	train	medium	seed001_medium	trojan	7860c15addd1ea88e65163a5a4794d6b072033e7436ac6174e0f04c6929400a6
8	1	4	seed001	train	medium	seed001_medium	direct	7860c15addd1ea88e65163a5a4794d6b072033e7436ac6174e0f04c6929400a6
9	2	1	seed001	train	heavy	seed001_heavy	shadowsocks	f6fef321f8f812d85b6e40e044a249a6e7eedc966053f7583613b6d794d2b81f
10	2	2	seed001	train	heavy	seed001_heavy	trojan	f6fef321f8f812d85b6e40e044a249a6e7eedc966053f7583613b6d794d2b81f
11	2	3	seed001	train	heavy	seed001_heavy	direct	f6fef321f8f812d85b6e40e044a249a6e7eedc966053f7583613b6d794d2b81f
12	2	4	seed001	train	heavy	seed001_heavy	vless	f6fef321f8f812d85b6e40e044a249a6e7eedc966053f7583613b6d794d2b81f
13	3	1	seed002	train	light	seed002_light	trojan	85cf3e6e8fe281ea6932dc47950cff96304679f4f06e7d1f838472ddb33db9cb
14	3	2	seed002	train	light	seed002_light	direct	85cf3e6e8fe281ea6932dc47950cff96304679f4f06e7d1f838472ddb33db9cb
15	3	3	seed002	train	light	seed002_light	vless	85cf3e6e8fe281ea6932dc47950cff96304679f4f06e7d1f838472ddb33db9cb
16	3	4	seed002	train	light	seed002_light	shadowsocks	85cf3e6e8fe281ea6932dc47950cff96304679f4f06e7d1f838472ddb33db9cb
17	4	1	seed002	train	medium	seed002_medium	direct	8072a5fe98fda131c0ac49b94656bef40e757a7891677ee652158220574775a9
18	4	2	seed002	train	medium	seed002_medium	vless	8072a5fe98fda131c0ac49b94656bef40e757a7891677ee652158220574775a9
19	4	3	seed002	train	medium	seed002_medium	shadowsocks	8072a5fe98fda131c0ac49b94656bef40e757a7891677ee652158220574775a9
20	4	4	seed002	train	medium	seed002_medium	trojan	8072a5fe98fda131c0ac49b94656bef40e757a7891677ee652158220574775a9
21	5	1	seed002	train	heavy	seed002_heavy	vless	b4fe899e6b7e4f0d823d485f6e1cfbcf945bd5abf3e6a5c812a3cc8bd1081ab3
22	5	2	seed002	train	heavy	seed002_heavy	shadowsocks	b4fe899e6b7e4f0d823d485f6e1cfbcf945bd5abf3e6a5c812a3cc8bd1081ab3
23	5	3	seed002	train	heavy	seed002_heavy	trojan	b4fe899e6b7e4f0d823d485f6e1cfbcf945bd5abf3e6a5c812a3cc8bd1081ab3
24	5	4	seed002	train	heavy	seed002_heavy	direct	b4fe899e6b7e4f0d823d485f6e1cfbcf945bd5abf3e6a5c812a3cc8bd1081ab3
25	6	1	seed003	train	light	seed003_light	shadowsocks	69f6abda3478de436a9f5ac5b82ace88236fcb28a9387bc70bf4d0967a50475c
26	6	2	seed003	train	light	seed003_light	trojan	69f6abda3478de436a9f5ac5b82ace88236fcb28a9387bc70bf4d0967a50475c
27	6	3	seed003	train	light	seed003_light	direct	69f6abda3478de436a9f5ac5b82ace88236fcb28a9387bc70bf4d0967a50475c
28	6	4	seed003	train	light	seed003_light	vless	69f6abda3478de436a9f5ac5b82ace88236fcb28a9387bc70bf4d0967a50475c
29	7	1	seed003	train	medium	seed003_medium	trojan	b3d28040b74f0b3c4417c225b0d36288ea55f67ec5c2d846b6f43d80de455579
30	7	2	seed003	train	medium	seed003_medium	direct	b3d28040b74f0b3c4417c225b0d36288ea55f67ec5c2d846b6f43d80de455579
31	7	3	seed003	train	medium	seed003_medium	vless	b3d28040b74f0b3c4417c225b0d36288ea55f67ec5c2d846b6f43d80de455579
32	7	4	seed003	train	medium	seed003_medium	shadowsocks	b3d28040b74f0b3c4417c225b0d36288ea55f67ec5c2d846b6f43d80de455579
33	8	1	seed003	train	heavy	seed003_heavy	direct	e175c517e3c64e459c9d4d5daef59809349468fe2b3d29a1b34043964bf1762e
34	8	2	seed003	train	heavy	seed003_heavy	vless	e175c517e3c64e459c9d4d5daef59809349468fe2b3d29a1b34043964bf1762e
35	8	3	seed003	train	heavy	seed003_heavy	shadowsocks	e175c517e3c64e459c9d4d5daef59809349468fe2b3d29a1b34043964bf1762e
36	8	4	seed003	train	heavy	seed003_heavy	trojan	e175c517e3c64e459c9d4d5daef59809349468fe2b3d29a1b34043964bf1762e
37	9	1	seed004	train	light	seed004_light	vless	8b492e623005eda4d3f6810207d099563044b19fb97f066af1ee1ccc521c27b0
38	9	2	seed004	train	light	seed004_light	shadowsocks	8b492e623005eda4d3f6810207d099563044b19fb97f066af1ee1ccc521c27b0
39	9	3	seed004	train	light	seed004_light	trojan	8b492e623005eda4d3f6810207d099563044b19fb97f066af1ee1ccc521c27b0
40	9	4	seed004	train	light	seed004_light	direct	8b492e623005eda4d3f6810207d099563044b19fb97f066af1ee1ccc521c27b0
41	10	1	seed004	train	medium	seed004_medium	shadowsocks	55d9776d63f2083690e0fd11a6bd2e50a410b5d1821c34fb9f090c9334eb0ef7
42	10	2	seed004	train	medium	seed004_medium	trojan	55d9776d63f2083690e0fd11a6bd2e50a410b5d1821c34fb9f090c9334eb0ef7
43	10	3	seed004	train	medium	seed004_medium	direct	55d9776d63f2083690e0fd11a6bd2e50a410b5d1821c34fb9f090c9334eb0ef7
44	10	4	seed004	train	medium	seed004_medium	vless	55d9776d63f2083690e0fd11a6bd2e50a410b5d1821c34fb9f090c9334eb0ef7
45	11	1	seed004	train	heavy	seed004_heavy	trojan	99bdcb4e6a1173335cf6b435bcae9303441b6f8d25d0bdb9c8221984bf3f3353
46	11	2	seed004	train	heavy	seed004_heavy	direct	99bdcb4e6a1173335cf6b435bcae9303441b6f8d25d0bdb9c8221984bf3f3353
47	11	3	seed004	train	heavy	seed004_heavy	vless	99bdcb4e6a1173335cf6b435bcae9303441b6f8d25d0bdb9c8221984bf3f3353
48	11	4	seed004	train	heavy	seed004_heavy	shadowsocks	99bdcb4e6a1173335cf6b435bcae9303441b6f8d25d0bdb9c8221984bf3f3353
49	12	1	seed005	train	light	seed005_light	direct	3543a1486e91b94d19831f0a808539e9f2a0bccd63fa106ba6f5ead1a032b6f5
50	12	2	seed005	train	light	seed005_light	vless	3543a1486e91b94d19831f0a808539e9f2a0bccd63fa106ba6f5ead1a032b6f5
51	12	3	seed005	train	light	seed005_light	shadowsocks	3543a1486e91b94d19831f0a808539e9f2a0bccd63fa106ba6f5ead1a032b6f5
52	12	4	seed005	train	light	seed005_light	trojan	3543a1486e91b94d19831f0a808539e9f2a0bccd63fa106ba6f5ead1a032b6f5
53	13	1	seed005	train	medium	seed005_medium	vless	1f7c14b17c57fe7979843fd1abcbe53ceafa902995ca0d989eea68d5349574ae
54	13	2	seed005	train	medium	seed005_medium	shadowsocks	1f7c14b17c57fe7979843fd1abcbe53ceafa902995ca0d989eea68d5349574ae
55	13	3	seed005	train	medium	seed005_medium	trojan	1f7c14b17c57fe7979843fd1abcbe53ceafa902995ca0d989eea68d5349574ae
56	13	4	seed005	train	medium	seed005_medium	direct	1f7c14b17c57fe7979843fd1abcbe53ceafa902995ca0d989eea68d5349574ae
57	14	1	seed005	train	heavy	seed005_heavy	shadowsocks	ac5efde6a29405fd7e9f644786d206f9f700be2b940f17dd6fd5b622e41499ca
58	14	2	seed005	train	heavy	seed005_heavy	trojan	ac5efde6a29405fd7e9f644786d206f9f700be2b940f17dd6fd5b622e41499ca
59	14	3	seed005	train	heavy	seed005_heavy	direct	ac5efde6a29405fd7e9f644786d206f9f700be2b940f17dd6fd5b622e41499ca
60	14	4	seed005	train	heavy	seed005_heavy	vless	ac5efde6a29405fd7e9f644786d206f9f700be2b940f17dd6fd5b622e41499ca
61	15	1	seed006	train	light	seed006_light	trojan	a989959589ab2da5a101880d784ae4a7c3fd45ef0edbd4a05a928b39c34dd1f1
62	15	2	seed006	train	light	seed006_light	direct	a989959589ab2da5a101880d784ae4a7c3fd45ef0edbd4a05a928b39c34dd1f1
63	15	3	seed006	train	light	seed006_light	vless	a989959589ab2da5a101880d784ae4a7c3fd45ef0edbd4a05a928b39c34dd1f1
64	15	4	seed006	train	light	seed006_light	shadowsocks	a989959589ab2da5a101880d784ae4a7c3fd45ef0edbd4a05a928b39c34dd1f1
65	16	1	seed006	train	medium	seed006_medium	direct	4a4d8d79e90ca592b4001fe5531fa858da3a7eb5a3553079dbd1be2ce51bddf0
66	16	2	seed006	train	medium	seed006_medium	vless	4a4d8d79e90ca592b4001fe5531fa858da3a7eb5a3553079dbd1be2ce51bddf0
67	16	3	seed006	train	medium	seed006_medium	shadowsocks	4a4d8d79e90ca592b4001fe5531fa858da3a7eb5a3553079dbd1be2ce51bddf0
68	16	4	seed006	train	medium	seed006_medium	trojan	4a4d8d79e90ca592b4001fe5531fa858da3a7eb5a3553079dbd1be2ce51bddf0
69	17	1	seed006	train	heavy	seed006_heavy	vless	817f5f7f00c77dc9638e0a30f0217982498ff298d94ae4394cb1910d547beaad
70	17	2	seed006	train	heavy	seed006_heavy	shadowsocks	817f5f7f00c77dc9638e0a30f0217982498ff298d94ae4394cb1910d547beaad
71	17	3	seed006	train	heavy	seed006_heavy	trojan	817f5f7f00c77dc9638e0a30f0217982498ff298d94ae4394cb1910d547beaad
72	17	4	seed006	train	heavy	seed006_heavy	direct	817f5f7f00c77dc9638e0a30f0217982498ff298d94ae4394cb1910d547beaad
73	18	1	seed007	train	light	seed007_light	shadowsocks	5c593ae39dc3313eeed96b359b4fe1d5d580f55d932030d3cdf9d2652c009f9f
74	18	2	seed007	train	light	seed007_light	trojan	5c593ae39dc3313eeed96b359b4fe1d5d580f55d932030d3cdf9d2652c009f9f
75	18	3	seed007	train	light	seed007_light	direct	5c593ae39dc3313eeed96b359b4fe1d5d580f55d932030d3cdf9d2652c009f9f
