seed	split	intensity	pair_group_id	plan_path	plan_sha256	domain_ids	domain_split	browser_version	playwright_version	generator_git_head
seed001	train	light	seed001_light	/home/etip/datasets/plans/realistic_v1/t0_v2/seed001_light_workload_plan.json	a18071294fe3257d507ec5d3837ec7501a11eef93f0513497b882b45d083e6b7	domain0206,domain0351	train	151.0.7922.34	1.62.0	57f71d9fe8a267505d038dd1cb6bc3081bee010f
seed001	train	medium	seed001_medium	/home/etip/datasets/plans/realistic_v1/t0_v2/seed001_medium_workload_plan.json	7860c15addd1ea88e65163a5a4794d6b072033e7436ac6174e0f04c6929400a6	domain0254,domain0482,domain0371,domain0046	train	151.0.7922.34	1.62.0	57f71d9fe8a267505d038dd1cb6bc3081bee010f
seed001	train	heavy	seed001_heavy	/home/etip/datasets/plans/realistic_v1/t0_v2/seed001_heavy_workload_plan.json	f6fef321f8f812d85b6e40e044a249a6e7eedc966053f7583613b6d794d2b81f	domain0363,domain0038,domain0059,domain0204,domain0091,domain0307	train	151.0.7922.34	1.62.0	57f71d9fe8a267505d038dd1cb6bc3081bee010f
seed002	train	light	seed002_light	/home/etip/datasets/plans/realistic_v1/t0_v2/seed002_light_workload_plan.json	85cf3e6e8fe281ea6932dc47950cff96304679f4f06e7d1f838472ddb33db9cb	domain0035,domain0460	train	151.0.7922.34	1.62.0	57f71d9fe8a267505d038dd1cb6bc3081bee010f
seed002	train	medium	seed002_medium	/home/etip/datasets/plans/realistic_v1/t0_v2/seed002_medium_workload_plan.json	8072a5fe98fda131c0ac49b94656bef40e757a7891677ee652158220574775a9	domain0397,domain0206,domain0006,domain0260	train	151.0.7922.34	1.62.0	57f71d9fe8a267505d038dd1cb6bc3081bee010f
seed002	train	heavy	seed002_heavy	/home/etip/datasets/plans/realistic_v1/t0_v2/seed002_heavy_workload_plan.json	b4fe899e6b7e4f0d823d485f6e1cfbcf945bd5abf3e6a5c812a3cc8bd1081ab3	domain0233,domain0235,domain0487,domain0041,domain0408,domain0427	train	151.0.7922.34	1.62.0	57f71d9fe8a267505d038dd1cb6bc3081bee010f
seed003	train	light	seed003_light	/home/etip/datasets/plans/realistic_v1/t0_v2/seed003_light_workload_plan.json	69f6abda3478de436a9f5ac5b82ace88236fcb28a9387bc70bf4d0967a50475c	domain0216,domain0130	train	151.0.7922.34	1.62.0	57f71d9fe8a267505d038dd1cb6bc3081bee010f
seed003	train	medium	seed003_medium	/home/etip/datasets/plans/realistic_v1/t0_v2/seed003_medium_workload_plan.json	b3d28040b74f0b3c4417c225b0d36288ea55f67ec5c2d846b6f43d80de455579	domain0290,domain0122,domain0081,domain0430	train	151.0.7922.34	1.62.0	57f71d9fe8a267505d038dd1cb6bc3081bee010f
seed003	train	heavy	seed003_heavy	/home/etip/datasets/plans/realistic_v1/t0_v2/seed003_heavy_workload_plan.json	e175c517e3c64e459c9d4d5daef59809349468fe2b3d29a1b34043964bf1762e	domain0106,domain0090,domain0121,domain0292,domain0130,domain0114	train	151.0.7922.34	1.62.0	57f71d9fe8a267505d038dd1cb6bc3081bee010f
seed004	train	light	seed004_light	/home/etip/datasets/plans/realistic_v1/t0_v2/seed004_light_workload_plan.json	8b492e623005eda4d3f6810207d099563044b19fb97f066af1ee1ccc521c27b0	domain0049,domain0405	train	151.0.7922.34	1.62.0	57f71d9fe8a267505d038dd1cb6bc3081bee010f
