rank	domain	bucket	navigation_pass_count	navigation_fail_count	evaluate_pass_count	evaluate_timeout_count	action_pass_count	action_timeout_count	http429_count	renderer_unresponsive_count	final_actionability_status	failure_reason
2	cloudflare.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
5	microsoft.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
7	amazonaws.com	top_1_1000	2	1	2	0	2	0	0	0	ACTIONABILITY_UNSTABLE	navigation_pass=2/3;evaluate_pass=2/3;action_pass=2/3
9	apple.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
13	mail.ru	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
17	dzen.ru	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
18	linkedin.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
21	office.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
24	live.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
26	amazon.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
28	azure.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
29	bing.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
30	github.com	top_1_1000	0	3	0	0	0	0	0	0	ACTIONABILITY_UNSTABLE	navigation_pass=0/3;evaluate_pass=0/3;action_pass=0/3
34	fastly.net	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
43	gandi.net	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
44	sharepoint.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
47	wordpress.org	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
48	skype.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
49	cloud.microsoft	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
56	icloud.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
64	msn.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
67	ntp.org	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
71	wa.me	top_1_1000	0	3	0	0	0	0	0	0	ACTIONABILITY_UNSTABLE	navigation_pass=0/3;evaluate_pass=0/3;action_pass=0/3
73	nginx.org	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
77	zoom.us	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
81	baidu.com	top_1_1000	2	1	2	0	2	0	0	0	ACTIONABILITY_UNSTABLE	navigation_pass=2/3;evaluate_pass=2/3;action_pass=2/3
85	windows.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
91	qq.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
93	samsung.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
95	mozilla.org	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
96	nginx.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
97	wordpress.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
100	yandex.ru	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
102	nic.ru	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
103	sentry.io	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
104	achmea.nl	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
106	ui.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
110	b-cdn.net	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
111	outlook.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
112	bit.ly	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
114	europa.eu	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
117	registrar-servers.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
118	vk.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
121	afternic.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
122	github.io	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
123	criteo.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
124	f5.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
125	amazonvideo.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
127	apache.org	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
142	kaspersky.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
145	intuit.com	top_1_1000	1	2	1	0	1	0	2	0	ACTIONABILITY_UNSTABLE	navigation_pass=1/3;evaluate_pass=1/3;action_pass=1/3;http429=2
151	reg.ru	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
155	xiaomi.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
162	one.one	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
167	applovin.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
173	vk.ru	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
174	shopify.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
176	mts.ru	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
178	adobe.io	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
183	example.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
186	w3.org	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
191	cnn.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
192	rubiconproject.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
197	creativecommons.org	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
198	lencr.org	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
201	taboola.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
206	doi.org	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
207	miui.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
211	t-online.de	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
213	adsafeprotected.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
216	pages.dev	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
217	mit.edu	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
218	cpanel.net	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
227	nist.gov	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
233	ubuntu.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
234	userapi.com	top_1_1000	2	1	2	0	2	0	0	0	ACTIONABILITY_UNSTABLE	navigation_pass=2/3;evaluate_pass=2/3;action_pass=2/3
238	stripe.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
240	pubmatic.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
246	cisco.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
250	hubspot.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
251	adsrvr.org	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
252	who.int	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
254	booking.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
259	scorecardresearch.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
260	launchpad.net	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
262	meraki.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
266	ibm.com	top_1_1000	3	0	3	0	3	0	0	0	ACTIONABILITY_STABLE	
