domain_id	rank	domain	rank_bucket	source_list_id	source_sha256	syntax_eligible	reachability_eligible	main_http_status	main_commit_success	main_commit_latency_ms	warning_count	audit_timestamp	actionability_evidence_type	actionability_evidence_reference	navigation_pass_count	evaluate_pass_count	action_pass_count	actionability_status	pool_membership
domain0001	2	cloudflare.com	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	2326	0	2026-08-27T07:42:41Z	current500_capacity256_20260903	docs/realistic_v1/formal_t0_v3/actionability_audit_current500_capacity256_20260903.tsv	3	3	3	ACTIONABILITY_STABLE	original_stable
domain0002	5	microsoft.com	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	4161	2	2026-08-27T07:42:41Z	current500_capacity256_20260903	docs/realistic_v1/formal_t0_v3/actionability_audit_current500_capacity256_20260903.tsv	3	3	3	ACTIONABILITY_STABLE	original_stable
domain0003	9	apple.com	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	459	1	2026-08-27T07:43:11Z	current500_capacity256_20260903	docs/realistic_v1/formal_t0_v3/actionability_audit_current500_capacity256_20260903.tsv	3	3	3	ACTIONABILITY_STABLE	original_stable
domain0004	13	mail.ru	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	4383	1	2026-08-27T07:43:11Z	current500_capacity256_20260903	docs/realistic_v1/formal_t0_v3/actionability_audit_current500_capacity256_20260903.tsv	3	3	3	ACTIONABILITY_STABLE	original_stable
domain0005	17	dzen.ru	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	2660	1	2026-08-27T07:43:41Z	current500_capacity256_20260903	docs/realistic_v1/formal_t0_v3/actionability_audit_current500_capacity256_20260903.tsv	3	3	3	ACTIONABILITY_STABLE	original_stable
domain0006	18	linkedin.com	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	4288	1	2026-08-27T07:43:41Z	current500_capacity256_20260903	docs/realistic_v1/formal_t0_v3/actionability_audit_current500_capacity256_20260903.tsv	3	3	3	ACTIONABILITY_STABLE	original_stable
domain0007	21	office.com	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	3136	1	2026-08-27T07:43:41Z	current500_capacity256_20260903	docs/realistic_v1/formal_t0_v3/actionability_audit_current500_capacity256_20260903.tsv	3	3	3	ACTIONABILITY_STABLE	original_stable
domain0008	24	live.com	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	2291	1	2026-08-27T07:43:41Z	current500_capacity256_20260903	docs/realistic_v1/formal_t0_v3/actionability_audit_current500_capacity256_20260903.tsv	3	3	3	ACTIONABILITY_STABLE	original_stable
domain0009	26	amazon.com	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	202	true	4405	0	2026-08-27T07:44:11Z	current500_capacity256_20260903	docs/realistic_v1/formal_t0_v3/actionability_audit_current500_capacity256_20260903.tsv	3	3	3	ACTIONABILITY_STABLE	original_stable
domain0010	28	azure.com	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	3555	1	2026-08-27T07:44:11Z	current500_capacity256_20260903	docs/realistic_v1/formal_t0_v3/actionability_audit_current500_capacity256_20260903.tsv	3	3	3	ACTIONABILITY_STABLE	original_stable
domain0011	29	bing.com	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	1148	0	2026-08-27T07:44:11Z	current500_capacity256_20260903	docs/realistic_v1/formal_t0_v3/actionability_audit_current500_capacity256_20260903.tsv	3	3	3	ACTIONABILITY_STABLE	original_stable
domain0012	34	fastly.net	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	6553	0	2026-08-27T07:44:42Z	current500_capacity256_20260903	docs/realistic_v1/formal_t0_v3/actionability_audit_current500_capacity256_20260903.tsv	3	3	3	ACTIONABILITY_STABLE	original_stable
