rank	domain	rank_bucket	single_status	single_commit_success	single_commit_latency_ms	single_warning_count	single_error	single_reachable	attempt1_status	attempt1_commit_success	attempt1_commit_latency_ms	attempt1_warning_count	attempt1_error	attempt2_status	attempt2_commit_success	attempt2_commit_latency_ms	attempt2_warning_count	attempt2_error	attempt3_status	attempt3_commit_success	attempt3_commit_latency_ms	attempt3_warning_count	attempt3_error	attempt4_status	attempt4_commit_success	attempt4_commit_latency_ms	attempt4_warning_count	attempt4_error	rate_limit_429_count	hard_failure_count	warning_count	replay_stable	audit_timestamp	all_gates_pass
1	google.com	top_1_1000	0	false	31385	0	"TimeoutError: Page.goto: Timeout 30000ms exceeded.
Call log:
  - navigating to ""https://google.com/"", waiting until ""commit""
"	false	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	4	0	false	2026-08-29T06:15:43Z	false
3	gstatic.com	top_1_1000	0	false	31239	0	"TimeoutError: Page.goto: Timeout 30000ms exceeded.
Call log:
  - navigating to ""https://gstatic.com/"", waiting until ""commit""
"	false	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	4	0	false	2026-08-29T06:15:43Z	false
4	facebook.com	top_1_1000	0	false	1653	1	"Error: Page.goto: net::ERR_CONNECTION_RESET at https://facebook.com/
Call log:
  - navigating to ""https://facebook.com/"", waiting until ""commit""
"	false	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	4	0	false	2026-08-29T06:15:13Z	false
6	googleapis.com	top_1_1000	0	false	31437	0	"TimeoutError: Page.goto: Timeout 30000ms exceeded.
Call log:
  - navigating to ""https://googleapis.com/"", waiting until ""commit""
"	false	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	4	0	false	2026-08-29T06:15:43Z	false
8	youtube.com	top_1_1000	0	false	31317	0	"TimeoutError: Page.goto: Timeout 30000ms exceeded.
Call log:
  - navigating to ""https://youtube.com/"", waiting until ""commit""
"	false	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	4	0	false	2026-08-29T06:15:43Z	false
10	gtld-servers.net	top_1_1000	0	false	2168	1	"Error: Page.goto: net::ERR_NAME_NOT_RESOLVED at https://gtld-servers.net/
Call log:
  - navigating to ""https://gtld-servers.net/"", waiting until ""commit""
"	false	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	4	0	false	2026-08-29T06:15:14Z	false
11	akamai.net	top_1_1000	0	false	1653	1	"Error: Page.goto: net::ERR_NAME_NOT_RESOLVED at https://akamai.net/
Call log:
  - navigating to ""https://akamai.net/"", waiting until ""commit""
"	false	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	4	0	false	2026-08-29T06:15:13Z	false
12	instagram.com	top_1_1000	0	false	1783	1	"Error: Page.goto: net::ERR_CONNECTION_RESET at https://instagram.com/
Call log:
  - navigating to ""https://instagram.com/"", waiting until ""commit""
"	false	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	4	0	false	2026-08-29T06:15:13Z	false
14	ezviz7.com	top_1_1000	0	false	763	1	"Error: Page.goto: net::ERR_NAME_NOT_RESOLVED at https://ezviz7.com/
Call log:
  - navigating to ""https://ezviz7.com/"", waiting until ""commit""
"	false	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	4	0	false	2026-08-29T06:15:14Z	false
15	fbcdn.net	top_1_1000	0	false	1842	1	"Error: Page.goto: net::ERR_CONNECTION_RESET at https://fbcdn.net/
Call log:
  - navigating to ""https://fbcdn.net/"", waiting until ""commit""
"	false	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	4	0	false	2026-08-29T06:15:15Z	false
