domain_id	rank	domain	rank_bucket	source_list_id	source_sha256	attempt1_status	attempt1_commit_success	attempt1_commit_latency_ms	attempt1_warning_count	attempt1_error	attempt2_status	attempt2_commit_success	attempt2_commit_latency_ms	attempt2_warning_count	attempt2_error	attempt3_status	attempt3_commit_success	attempt3_commit_latency_ms	attempt3_warning_count	attempt3_error	attempt4_status	attempt4_commit_success	attempt4_commit_latency_ms	attempt4_warning_count	attempt4_error	rate_limit_429_count	hard_failure_count	warning_count	replay_stable	audit_timestamp
domain0001	2	cloudflare.com	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	200	true	5540	0		200	true	3350	0		200	true	5076	0		200	true	4113	0		0	0	0	true	2026-08-29T05:24:51Z
domain0002	5	microsoft.com	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	200	true	12782	3		200	true	15278	3		200	true	13743	3		200	true	14059	3		0	0	12	true	2026-08-29T05:25:29Z
domain0003	7	amazonaws.com	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	200	true	3907	0		200	true	2662	0		200	true	2711	0		200	true	2859	0		0	0	0	true	2026-08-29T05:24:46Z
domain0004	9	apple.com	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	200	true	1599	0		200	true	3339	0		200	true	959	0		200	true	1568	0		0	0	0	true	2026-08-29T05:24:40Z
domain0005	13	mail.ru	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	200	true	13781	3		200	true	13616	4		200	true	11478	3		200	true	14905	4		0	0	14	true	2026-08-29T05:25:26Z
domain0006	17	dzen.ru	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	200	true	10599	0		200	true	12217	1		200	true	12593	0		200	true	10289	1		0	0	2	true	2026-08-29T05:25:18Z
domain0007	18	linkedin.com	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	200	true	9755	1		200	true	8651	1		200	true	6750	1		200	true	6324	1		0	0	4	true	2026-08-29T05:25:04Z
domain0008	21	office.com	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	200	true	9952	0		200	true	9202	0		200	true	10012	0		200	true	12437	0		0	0	0	true	2026-08-29T05:25:15Z
domain0009	24	live.com	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	200	true	5023	0		200	true	4632	0		200	true	6215	0		200	true	4660	0		0	0	0	true	2026-08-29T05:25:16Z
domain0010	26	amazon.com	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	202	true	7254	0		202	true	12508	1		202	true	12190	1		202	true	13040	1		0	0	3	true	2026-08-29T05:25:46Z
domain0011	28	azure.com	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	200	true	14032	1		200	true	14707	2		200	true	14257	3		200	true	13464	3		0	0	9	true	2026-08-29T05:26:03Z
domain0012	29	bing.com	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	200	true	963	0		200	true	922	0		200	true	1375	0		200	true	831	0		0	0	0	true	2026-08-29T05:25:24Z
domain0013	34	fastly.net	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	200	true	7428	0		200	true	5755	0		200	true	5760	0		200	true	4557	0		0	0	0	true	2026-08-29T05:25:55Z
domain0014	43	gandi.net	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	200	true	14988	1		200	true	14143	1		200	true	11263	0		200	true	9733	0		0	0	2	true	2026-08-29T05:26:24Z
domain0015	44	sharepoint.com	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	200	true	18219	1		200	true	20299	1		200	true	19293	1		200	true	20752	1		0	0	4	true	2026-08-29T05:26:58Z
domain0016	47	wordpress.org	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	200	true	6866	2		200	true	8018	0		200	true	7259	2		200	true	9609	2		0	0	6	true	2026-08-29T05:26:14Z
domain0017	48	skype.com	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	200	true	4932	0		200	true	2953	0		200	true	2258	0		200	true	2951	0		0	0	0	true	2026-08-29T05:25:57Z
domain0018	49	cloud.microsoft	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	200	true	12144	0		200	true	9254	0		200	true	11190	0		200	true	8166	0		0	0	0	true	2026-08-29T05:26:42Z
domain0019	56	icloud.com	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	200	true	2125	0		200	true	1373	0		200	true	1087	0		200	true	1128	0		0	0	0	true	2026-08-29T05:26:17Z
domain0020	64	msn.com	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	200	true	2186	0		200	true	1789	0		200	true	2807	0		200	true	2031	0		0	0	0	true	2026-08-29T05:26:21Z
domain0021	67	ntp.org	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	200	true	2235	0		200	true	3993	0		200	true	2240	0		200	true	5977	0		0	0	0	true	2026-08-29T05:26:33Z
domain0022	73	nginx.org	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	200	true	1008	0		200	true	817	0		200	true	786	0		200	true	812	0		0	0	0	true	2026-08-29T05:26:35Z
domain0023	77	zoom.us	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	200	true	10296	4		200	true	14784	4		200	true	10626	3		200	true	10775	3		0	0	14	true	2026-08-29T05:27:23Z
domain0024	85	windows.com	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	200	true	7362	0		200	true	8474	0		200	true	9417	0		200	true	8659	0		0	0	0	true	2026-08-29T05:27:22Z
domain0025	91	qq.com	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	200	true	1748	2		200	true	1957	2		200	true	1814	2		200	true	1586	2		0	0	8	true	2026-08-29T05:26:58Z
domain0026	93	samsung.com	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	200	true	3527	0		200	true	2200	0		200	true	2965	0		200	true	1999	0		0	0	0	true	2026-08-29T05:27:03Z
domain0027	95	mozilla.org	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	200	true	4271	0		200	true	6714	0		200	true	4130	0		200	true	10092	0		0	0	0	true	2026-08-29T05:27:23Z
domain0028	96	nginx.com	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	200	true	7454	0		200	true	13619	1		200	true	5435	0		200	true	13602	1		0	0	2	true	2026-08-29T05:27:54Z
domain0029	97	wordpress.com	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	200	true	3992	0		200	true	3923	0		200	true	6210	0		200	true	5279	0		0	0	0	true	2026-08-29T05:27:33Z
domain0030	100	yandex.ru	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	200	true	12708	2		200	true	13793	0		200	true	15186	3		200	true	16340	3		0	0	8	true	2026-08-29T05:28:15Z
domain0031	102	nic.ru	top_1_1000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	200	true	1816	0		200	true	2191	0		200	true	1368	0		200	true	1190	0		0	0	0	true	2026-08-29T05:27:25Z
