domain_id	rank	domain	https_url	rank_bucket	split	split_key_sha256	split_seed	source_list_id	source_sha256	final_pool_sha256
domain0308	808	washington.edu	https://washington.edu/	top_1_1000	train	007856dff748c56be4f1aabd3c120c8501687ea30694acbd6c8012d2cf99d8c8	proxytraffic-realistic-v1-formal-t0-domain-split-v3	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	ead6f94c28ec666880ac1a16154b8faebef78e44e76d40001092b10f4040c14a
domain0124	357	opendns.com	https://opendns.com/	top_1_1000	train	01370279688894d1824738eda790fea5ee179fa9fb4c5b43a878de57553fb1b0	proxytraffic-realistic-v1-formal-t0-domain-split-v3	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	ead6f94c28ec666880ac1a16154b8faebef78e44e76d40001092b10f4040c14a
domain0197	554	fast.com	https://fast.com/	top_1_1000	train	015e0fdff084db398a1bbc7b77312415f82668bad44b8bb02710f185bced8ff7	proxytraffic-realistic-v1-formal-t0-domain-split-v3	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	ead6f94c28ec666880ac1a16154b8faebef78e44e76d40001092b10f4040c14a
domain0365	1032	interia.pl	https://interia.pl/	rank_1001_100000	train	01a33bfcc5ff8c9d3d2777cec64f9ae05e08ab2f99295c54c46fc336279f9b7c	proxytraffic-realistic-v1-formal-t0-domain-split-v3	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	ead6f94c28ec666880ac1a16154b8faebef78e44e76d40001092b10f4040c14a
domain0442	1210	biomedcentral.com	https://biomedcentral.com/	rank_1001_100000	train	02270e1946f9a021165f49576888f254d6f9093d2228a03ceccd8b693efb07bc	proxytraffic-realistic-v1-formal-t0-domain-split-v3	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	ead6f94c28ec666880ac1a16154b8faebef78e44e76d40001092b10f4040c14a
domain0076	246	cisco.com	https://cisco.com/	top_1_1000	train	03a265f1a27ea282441eb69b5dd79006576628ded540e2a44b48ccb0b1d92979	proxytraffic-realistic-v1-formal-t0-domain-split-v3	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	ead6f94c28ec666880ac1a16154b8faebef78e44e76d40001092b10f4040c14a
domain0150	409	casalemedia.com	https://casalemedia.com/	top_1_1000	train	03b96aa735810919d3ac9da79b4a21ab3013c23e2b327a6415cd1c23c8b5f8e5	proxytraffic-realistic-v1-formal-t0-domain-split-v3	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	ead6f94c28ec666880ac1a16154b8faebef78e44e76d40001092b10f4040c14a
domain0186	521	vkontakte.ru	https://vkontakte.ru/	top_1_1000	train	0449686f6f8400b3b6ed3a94be15663bc1429b95ba700099c12949304d1b75be	proxytraffic-realistic-v1-formal-t0-domain-split-v3	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	ead6f94c28ec666880ac1a16154b8faebef78e44e76d40001092b10f4040c14a
domain0403	1123	apa.org	https://apa.org/	rank_1001_100000	train	044eee79e728d52f11ad04b2ace0664c526ffa682ecb71070897ef487c3a5ca4	proxytraffic-realistic-v1-formal-t0-domain-split-v3	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	ead6f94c28ec666880ac1a16154b8faebef78e44e76d40001092b10f4040c14a
domain0235	624	sagepub.com	https://sagepub.com/	top_1_1000	train	050b65141ce421cfee770ab8208a59d51de5c3349af19674e4a80095686b48e9	proxytraffic-realistic-v1-formal-t0-domain-split-v3	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	ead6f94c28ec666880ac1a16154b8faebef78e44e76d40001092b10f4040c14a
domain0318	829	hbr.org	https://hbr.org/	top_1_1000	train	0525b4abdd12045a47314ffb8150159c49452f477e359c5d9fc5ee8d3f325629	proxytraffic-realistic-v1-formal-t0-domain-split-v3	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	ead6f94c28ec666880ac1a16154b8faebef78e44e76d40001092b10f4040c14a
domain0322	840	amazon.com.br	https://amazon.com.br/	top_1_1000	train	059b1933f2209437503ab93d4433e50acb933eee2561d86879c83eae7e7dc93d	proxytraffic-realistic-v1-formal-t0-domain-split-v3	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	ead6f94c28ec666880ac1a16154b8faebef78e44e76d40001092b10f4040c14a
