plan_id	seed	seed_assignment_id	split	intensity	pair_group_id	plan_path	plan_sha256	domain_ids	domain_split	browser_version	playwright_version	generator_git_head	final_pool_sha256
formal_t0_v3_seed001_light	seed001	train001	train	light	seed001_light	/home/etip/datasets/plans/realistic_v1/t0_v3_r2/seed001_light_workload_plan.json	ead6a49d475c9bf8425c09fa590c9dd1bf65bfaa48819ee4780fdc34b4709329	domain0322,domain0190	train	151.0.7922.34	1.62.0	a452020234e2ea2c2d0fde23fc3b9fd05ae41839	ead6f94c28ec666880ac1a16154b8faebef78e44e76d40001092b10f4040c14a
formal_t0_v3_seed001_medium	seed001	train001	train	medium	seed001_medium	/home/etip/datasets/plans/realistic_v1/t0_v3_r2/seed001_medium_workload_plan.json	95cd7f225e58b52c3f32ad6d7797ac3a8d772c92da0a831cc1ef76013b12d540	domain0210,domain0453,domain0150,domain0365	train	151.0.7922.34	1.62.0	a452020234e2ea2c2d0fde23fc3b9fd05ae41839	ead6f94c28ec666880ac1a16154b8faebef78e44e76d40001092b10f4040c14a
formal_t0_v3_seed001_heavy	seed001	train001	train	heavy	seed001_heavy	/home/etip/datasets/plans/realistic_v1/t0_v3_r2/seed001_heavy_workload_plan.json	f9df0a783e270f8d4f61a8be67ef375be303693f5433be022a072379d7f86b92	domain0437,domain0431,domain0343,domain0131,domain0280,domain0434	train	151.0.7922.34	1.62.0	a452020234e2ea2c2d0fde23fc3b9fd05ae41839	ead6f94c28ec666880ac1a16154b8faebef78e44e76d40001092b10f4040c14a
formal_t0_v3_seed002_light	seed002	train002	train	light	seed002_light	/home/etip/datasets/plans/realistic_v1/t0_v3_r2/seed002_light_workload_plan.json	604608e65d6304f728e4a3fe35fe6b127553e9cc58ad8ff1106e228f72014b95	domain0025,domain0327	train	151.0.7922.34	1.62.0	a452020234e2ea2c2d0fde23fc3b9fd05ae41839	ead6f94c28ec666880ac1a16154b8faebef78e44e76d40001092b10f4040c14a
formal_t0_v3_seed002_medium	seed002	train002	train	medium	seed002_medium	/home/etip/datasets/plans/realistic_v1/t0_v3_r2/seed002_medium_workload_plan.json	c564c0a86f603f36ecb436d952b189632a87fb26c44b6292706b187213765380	domain0073,domain0449,domain0088,domain0412	train	151.0.7922.34	1.62.0	a452020234e2ea2c2d0fde23fc3b9fd05ae41839	ead6f94c28ec666880ac1a16154b8faebef78e44e76d40001092b10f4040c14a
formal_t0_v3_seed002_heavy	seed002	train002	train	heavy	seed002_heavy	/home/etip/datasets/plans/realistic_v1/t0_v3_r2/seed002_heavy_workload_plan.json	6b1ee05ee86b0007e07ee6b24aa0e20fa8af511b3f78d71a45bb2d4e35daa89b	domain0145,domain0431,domain0085,domain0044,domain0363,domain0151	train	151.0.7922.34	1.62.0	a452020234e2ea2c2d0fde23fc3b9fd05ae41839	ead6f94c28ec666880ac1a16154b8faebef78e44e76d40001092b10f4040c14a
formal_t0_v3_seed003_light	seed003	train003	train	light	seed003_light	/home/etip/datasets/plans/realistic_v1/t0_v3_r2/seed003_light_workload_plan.json	ebd1a8d481a35b40bf64e70c03cbe4806cb6f8ea987820d9f3ba6b547af0b903	domain0268,domain0483	train	151.0.7922.34	1.62.0	a452020234e2ea2c2d0fde23fc3b9fd05ae41839	ead6f94c28ec666880ac1a16154b8faebef78e44e76d40001092b10f4040c14a
formal_t0_v3_seed003_medium	seed003	train003	train	medium	seed003_medium	/home/etip/datasets/plans/realistic_v1/t0_v3_r2/seed003_medium_workload_plan.json	273e57438899543acd14ba5d05ae3570b28b0b376221943a939981d516ed9df7	domain0257,domain0484,domain0238,domain0036	train	151.0.7922.34	1.62.0	a452020234e2ea2c2d0fde23fc3b9fd05ae41839	ead6f94c28ec666880ac1a16154b8faebef78e44e76d40001092b10f4040c14a
formal_t0_v3_seed003_heavy	seed003	train003	train	heavy	seed003_heavy	/home/etip/datasets/plans/realistic_v1/t0_v3_r2/seed003_heavy_workload_plan.json	76731e973d92ee75ca73adeca3931609a4c55681b0d11d55aeae27250ec9e8b9	domain0192,domain0262,domain0370,domain0111,domain0354,domain0003	train	151.0.7922.34	1.62.0	a452020234e2ea2c2d0fde23fc3b9fd05ae41839	ead6f94c28ec666880ac1a16154b8faebef78e44e76d40001092b10f4040c14a
formal_t0_v3_seed004_light	seed004	train004	train	light	seed004_light	/home/etip/datasets/plans/realistic_v1/t0_v3_r2/seed004_light_workload_plan.json	136747638051a640e9a9db5e0bc4fe9ab4266b375f67548e4e81a6488aa42659	domain0454,domain0128	train	151.0.7922.34	1.62.0	a452020234e2ea2c2d0fde23fc3b9fd05ae41839	ead6f94c28ec666880ac1a16154b8faebef78e44e76d40001092b10f4040c14a
