schedule_id	sequence_id	quartet_index	mode_position	seed	seed_assignment_id	split	intensity	pair_group_id	plan_id	mode_order	plan_path	plan_sha256
formal_t0_v3_sample0001	1	0	1	seed001	train001	train	light	seed001_light	formal_t0_v3_seed001_light	direct	/home/etip/datasets/plans/realistic_v1/t0_v3_r6/seed001_light_workload_plan.json	7a6390a5f8534c589b7cc87ad49ac94a8d147b5244ed59666ab2bc90c56ce9db
formal_t0_v3_sample0002	2	0	2	seed001	train001	train	light	seed001_light	formal_t0_v3_seed001_light	vless	/home/etip/datasets/plans/realistic_v1/t0_v3_r6/seed001_light_workload_plan.json	7a6390a5f8534c589b7cc87ad49ac94a8d147b5244ed59666ab2bc90c56ce9db
formal_t0_v3_sample0003	3	0	3	seed001	train001	train	light	seed001_light	formal_t0_v3_seed001_light	shadowsocks	/home/etip/datasets/plans/realistic_v1/t0_v3_r6/seed001_light_workload_plan.json	7a6390a5f8534c589b7cc87ad49ac94a8d147b5244ed59666ab2bc90c56ce9db
formal_t0_v3_sample0004	4	0	4	seed001	train001	train	light	seed001_light	formal_t0_v3_seed001_light	trojan	/home/etip/datasets/plans/realistic_v1/t0_v3_r6/seed001_light_workload_plan.json	7a6390a5f8534c589b7cc87ad49ac94a8d147b5244ed59666ab2bc90c56ce9db
formal_t0_v3_sample0005	5	1	1	seed001	train001	train	medium	seed001_medium	formal_t0_v3_seed001_medium	vless	/home/etip/datasets/plans/realistic_v1/t0_v3_r6/seed001_medium_workload_plan.json	ce06e005922b1ce45f6bc98ae19ad8888d217f1fb1896e57930364bec0c53977
formal_t0_v3_sample0006	6	1	2	seed001	train001	train	medium	seed001_medium	formal_t0_v3_seed001_medium	shadowsocks	/home/etip/datasets/plans/realistic_v1/t0_v3_r6/seed001_medium_workload_plan.json	ce06e005922b1ce45f6bc98ae19ad8888d217f1fb1896e57930364bec0c53977
formal_t0_v3_sample0007	7	1	3	seed001	train001	train	medium	seed001_medium	formal_t0_v3_seed001_medium	trojan	/home/etip/datasets/plans/realistic_v1/t0_v3_r6/seed001_medium_workload_plan.json	ce06e005922b1ce45f6bc98ae19ad8888d217f1fb1896e57930364bec0c53977
formal_t0_v3_sample0008	8	1	4	seed001	train001	train	medium	seed001_medium	formal_t0_v3_seed001_medium	direct	/home/etip/datasets/plans/realistic_v1/t0_v3_r6/seed001_medium_workload_plan.json	ce06e005922b1ce45f6bc98ae19ad8888d217f1fb1896e57930364bec0c53977
formal_t0_v3_sample0009	9	2	1	seed001	train001	train	heavy	seed001_heavy	formal_t0_v3_seed001_heavy	shadowsocks	/home/etip/datasets/plans/realistic_v1/t0_v3_r6/seed001_heavy_workload_plan.json	3463e2ee256595341baa14b535a5d60660ae3d364b0f1434276200c67e52241d
formal_t0_v3_sample0010	10	2	2	seed001	train001	train	heavy	seed001_heavy	formal_t0_v3_seed001_heavy	trojan	/home/etip/datasets/plans/realistic_v1/t0_v3_r6/seed001_heavy_workload_plan.json	3463e2ee256595341baa14b535a5d60660ae3d364b0f1434276200c67e52241d
formal_t0_v3_sample0011	11	2	3	seed001	train001	train	heavy	seed001_heavy	formal_t0_v3_seed001_heavy	direct	/home/etip/datasets/plans/realistic_v1/t0_v3_r6/seed001_heavy_workload_plan.json	3463e2ee256595341baa14b535a5d60660ae3d364b0f1434276200c67e52241d
formal_t0_v3_sample0012	12	2	4	seed001	train001	train	heavy	seed001_heavy	formal_t0_v3_seed001_heavy	vless	/home/etip/datasets/plans/realistic_v1/t0_v3_r6/seed001_heavy_workload_plan.json	3463e2ee256595341baa14b535a5d60660ae3d364b0f1434276200c67e52241d
formal_t0_v3_sample0013	13	3	1	seed002	train002	train	light	seed002_light	formal_t0_v3_seed002_light	trojan	/home/etip/datasets/plans/realistic_v1/t0_v3_r6/seed002_light_workload_plan.json	5722d20a968e9aa9d924a6e7e2f1cd8fe906761f5b4a1e6bf2db0add9dabf3a9
formal_t0_v3_sample0014	14	3	2	seed002	train002	train	light	seed002_light	formal_t0_v3_seed002_light	direct	/home/etip/datasets/plans/realistic_v1/t0_v3_r6/seed002_light_workload_plan.json	5722d20a968e9aa9d924a6e7e2f1cd8fe906761f5b4a1e6bf2db0add9dabf3a9
formal_t0_v3_sample0015	15	3	3	seed002	train002	train	light	seed002_light	formal_t0_v3_seed002_light	vless	/home/etip/datasets/plans/realistic_v1/t0_v3_r6/seed002_light_workload_plan.json	5722d20a968e9aa9d924a6e7e2f1cd8fe906761f5b4a1e6bf2db0add9dabf3a9
